index,n,metric,estimate
2014-10-01,7,mean_absolute_error,0.7374028571428545
2014-10-01,7,mean_squared_error,1.160814986114277
2014-10-08,7,mean_absolute_error,1.349887142857142
2014-10-08,7,mean_squared_error,2.743981184071429
2014-10-15,7,mean_absolute_error,0.7341742857142873
2014-10-15,7,mean_squared_error,0.6991264342571455
2014-10-22,7,mean_absolute_error,1.1315714285714302
2014-10-22,7,mean_squared_error,2.773452921228575
2014-10-29,7,mean_absolute_error,1.3126057142857153
2014-10-29,7,mean_squared_error,3.206078626600007
2014-11-05,7,mean_absolute_error,0.9268600000000008
2014-11-05,7,mean_squared_error,1.724839032828579
2014-11-12,7,mean_squared_error,10.28850175925716
2014-11-12,7,mean_absolute_error,2.96562285714286
2014-11-19,7,mean_absolute_error,3.0996542857142875
2014-11-19,7,mean_squared_error,12.421574379600017
2014-11-26,7,mean_absolute_error,4.507480000000002
2014-11-26,7,mean_squared_error,50.41139898405713
2014-12-03,7,mean_absolute_error,1.578694285714286
2014-12-03,7,mean_squared_error,3.4865972459999983
2014-12-10,7,mean_absolute_error,2.481994285714284
2014-12-10,7,mean_squared_error,11.518611548828565
2014-12-15,7,mean_squared_error,1.9375474783571482
2014-12-15,7,mean_absolute_error,1.2866928571428577
2014-12-17,7,mean_absolute_error,1.7951085714285715
2014-12-17,7,mean_squared_error,3.5445463659428538
2014-12-22,7,mean_squared_error,72.99296134657148
2014-12-22,7,mean_absolute_error,6.639945714285715
2014-12-24,7,mean_squared_error,72.00439087207148
2014-12-24,7,mean_absolute_error,6.338218571428572
2014-12-29,7,mean_absolute_error,2.872655714285713
2014-12-29,7,mean_squared_error,19.719115596414298
2014-12-31,7,mean_squared_error,21.068694573271443
2014-12-31,7,mean_absolute_error,3.253255714285713
2015-01-05,7,mean_absolute_error,2.862031428571427
2015-01-05,7,mean_squared_error,9.808264849885708
2015-01-07,2,mean_squared_error,18.039773680899987
2015-01-07,2,mean_absolute_error,3.811719999999996
2015-01-12,7,mean_squared_error,22.92255358999998
2015-01-12,7,mean_absolute_error,3.945360000000001
2015-01-19,7,mean_absolute_error,2.298514285714288
2015-01-19,7,mean_squared_error,6.553303333971447
2015-01-26,7,mean_absolute_error,1.4511228571428572
2015-01-26,7,mean_squared_error,2.476753888399997
2015-02-02,7,mean_absolute_error,1.3202971428571435
2015-02-02,7,mean_squared_error,2.1521402218857184
2015-02-09,7,mean_absolute_error,1.4184157142857166
2015-02-09,7,mean_squared_error,2.634448393871437
2015-02-16,7,mean_squared_error,8.139352320699992
2015-02-16,7,mean_absolute_error,2.1741728571428576
2015-02-23,7,mean_squared_error,5.258290886785729
2015-02-23,7,mean_absolute_error,2.0795385714285755
2015-03-02,7,mean_absolute_error,1.6046371428571422
2015-03-02,7,mean_squared_error,4.395934313428569
2015-03-09,7,mean_absolute_error,2.8308028571428596
2015-03-09,7,mean_squared_error,12.232913773657149
2015-03-16,7,mean_absolute_error,1.9856171428571447
2015-03-16,7,mean_squared_error,6.036733844742858
2015-03-23,7,mean_absolute_error,2.3499999999999988
2015-03-23,7,mean_squared_error,8.21306420231429
2015-03-30,7,mean_absolute_error,0.6935257142857157
2015-03-30,7,mean_squared_error,1.2515352097714323
2015-04-06,7,mean_absolute_error,1.0478214285714296
2015-04-06,7,mean_squared_error,1.7540122041000046
2015-04-13,7,mean_squared_error,3.6715662882428437
2015-04-13,7,mean_absolute_error,1.7551557142857106
2015-04-20,7,mean_absolute_error,2.3729242857142845
2015-04-20,7,mean_squared_error,6.173017886957139
2015-04-27,7,mean_absolute_error,1.183251428571426
2015-04-27,7,mean_squared_error,3.421543410914286
2015-05-04,7,mean_absolute_error,0.9228242857142848
2015-05-04,7,mean_squared_error,0.9559220972428574
2015-05-11,7,mean_absolute_error,1.4438985714285693
2015-05-11,7,mean_squared_error,3.237433271957142
2015-05-18,7,mean_absolute_error,1.1348014285714272
2015-05-18,7,mean_squared_error,1.722353038414281
2015-05-25,7,mean_squared_error,32.107911583299995
2015-05-25,7,mean_absolute_error,3.5107499999999976
2015-06-01,7,mean_absolute_error,1.2315707142857149
2015-06-01,7,mean_squared_error,1.9008981251464294
2015-06-08,7,mean_absolute_error,3.95347071428571
2015-06-08,7,mean_squared_error,33.92963535824642
2015-06-15,7,mean_absolute_error,2.7988442857142837
2015-06-15,7,mean_squared_error,9.339135803614274
2015-06-22,7,mean_absolute_error,1.1956842857142846
2015-06-22,7,mean_squared_error,1.9285798022999951
2015-06-29,7,mean_absolute_error,3.1120299999999985
2015-06-29,7,mean_squared_error,20.593721941585734
2015-07-06,7,mean_squared_error,9.258622174785694
2015-07-06,7,mean_absolute_error,2.3904814285714253
2015-07-13,7,mean_absolute_error,3.0833757142857126
2015-07-13,7,mean_squared_error,14.824513348271426
2015-07-20,7,mean_absolute_error,1.445698571428567
2015-07-20,7,mean_squared_error,2.434446411128557
2015-07-27,7,mean_absolute_error,1.791417142857139
2015-07-27,7,mean_squared_error,3.6538750365428414
2015-08-03,7,mean_absolute_error,1.7992657142857114
2015-08-03,7,mean_squared_error,3.653930846971419
2015-08-10,7,mean_absolute_error,0.8388042857142847
2015-08-10,7,mean_squared_error,0.8023093393571405
2015-08-17,7,mean_absolute_error,1.4231157142857112
2015-08-17,7,mean_squared_error,3.8631199146999884
2015-08-24,7,mean_squared_error,1.5345122989142743
2015-08-24,7,mean_absolute_error,1.0819028571428528
2015-08-31,7,mean_absolute_error,1.5114928571428554
2015-08-31,7,mean_squared_error,3.137457592442856
2015-09-07,7,mean_absolute_error,3.0975214285714263
2015-09-07,7,mean_squared_error,30.274095234157127
2015-09-14,7,mean_absolute_error,1.5043028571428556
2015-09-14,7,mean_squared_error,2.9370455806285642
2015-09-21,7,mean_absolute_error,3.2006742857142845
2015-09-21,7,mean_squared_error,17.02942952414285
2015-09-28,7,mean_absolute_error,2.8839642857142826
2015-09-28,7,mean_squared_error,9.845081623985704
2015-10-05,7,mean_squared_error,5.960107266300007
2015-10-05,7,mean_absolute_error,2.2850014285714297
2015-10-12,7,mean_absolute_error,2.2116999999999996
2015-10-12,7,mean_squared_error,5.724496810971421
2015-10-19,7,mean_absolute_error,2.5659271428571406
2015-10-19,7,mean_squared_error,7.040978341585706
2015-10-26,7,mean_absolute_error,3.047659999999999
2015-10-26,7,mean_squared_error,12.342639399971418
2015-11-02,7,mean_absolute_error,1.730668571428571
2015-11-02,7,mean_squared_error,4.218741747371428
2015-11-09,7,mean_absolute_error,2.160967142857143
2015-11-09,7,mean_squared_error,7.2786416866142805
2015-11-16,7,mean_squared_error,5.477389617199996
2015-11-16,7,mean_absolute_error,2.0208028571428573
2015-11-23,7,mean_squared_error,64.32729321280009
2015-11-23,7,mean_absolute_error,5.787634285714288
2015-11-30,7,mean_absolute_error,2.7128271428571433
2015-11-30,7,mean_squared_error,8.944361169385717
2015-12-07,7,mean_absolute_error,5.580431428571427
2015-12-07,7,mean_squared_error,58.08288682217141
2015-12-14,7,mean_absolute_error,1.8553785714285704
2015-12-14,7,mean_squared_error,4.7847110616142885
2015-12-21,7,mean_absolute_error,5.407550000000001
2015-12-21,7,mean_squared_error,56.488829855671405
2015-12-28,7,mean_absolute_error,4.087968571428569
2015-12-28,7,mean_squared_error,29.026954300714266
2016-01-04,7,mean_absolute_error,6.026397142857144
2016-01-04,7,mean_squared_error,58.74780749902858
2016-01-11,7,mean_squared_error,37.193271631400016
2016-01-11,7,mean_absolute_error,4.425391428571428
2016-01-18,7,mean_absolute_error,2.4519614285714275
2016-01-18,7,mean_squared_error,10.126769283700002
2016-01-25,7,mean_absolute_error,2.014707142857143
2016-01-25,7,mean_squared_error,5.3173061346428545
2016-02-01,7,mean_absolute_error,1.9610442857142867
2016-02-01,7,mean_squared_error,5.84599661107144
2016-02-08,7,mean_absolute_error,1.823432857142856
2016-02-08,7,mean_squared_error,4.434021083442856
2016-02-15,7,mean_absolute_error,3.0914385714285717
2016-02-15,7,mean_squared_error,12.941388364499998
2016-02-22,7,mean_squared_error,4.050660711342853
2016-02-22,7,mean_absolute_error,1.6766085714285706
2016-02-29,7,mean_absolute_error,2.792072857142855
2016-02-29,7,mean_squared_error,8.520641218414271
2016-03-07,7,mean_absolute_error,2.357837142857138
2016-03-07,7,mean_squared_error,9.663487774428555
2016-03-14,7,mean_absolute_error,1.6740814285714245
2016-03-14,7,mean_squared_error,4.078261954928554
2016-03-21,7,mean_absolute_error,0.9472957142857148
2016-03-21,7,mean_squared_error,1.217967676100002
2016-03-28,7,mean_absolute_error,1.7198385714285718
2016-03-28,7,mean_squared_error,4.010951703699989
2016-04-04,7,mean_absolute_error,2.6306914285714265
2016-04-04,7,mean_squared_error,9.489950829799989
2016-04-11,7,mean_squared_error,2.2920973044714197
2016-04-11,7,mean_absolute_error,1.2659585714285673
2016-04-18,7,mean_absolute_error,0.9216942857142805
2016-04-18,7,mean_squared_error,1.1080084915714161
2016-04-25,7,mean_absolute_error,1.2090457142857158
2016-04-25,7,mean_squared_error,1.6742356881428577
2016-05-02,7,mean_absolute_error,1.9511299999999956
2016-05-02,7,mean_squared_error,5.450634773242837
2016-05-09,7,mean_absolute_error,1.0055899999999973
2016-05-09,7,mean_squared_error,1.4622370883285658
2016-05-16,7,mean_absolute_error,0.9622721428571387
2016-05-16,7,mean_squared_error,1.1939346961607027
2016-05-23,7,mean_squared_error,1.7395372810321525
2016-05-23,7,mean_absolute_error,1.1133264285714308
2016-05-30,7,mean_absolute_error,3.350842142857143
2016-05-30,7,mean_squared_error,29.456571414475043
2016-06-06,7,mean_absolute_error,2.3663457142857105
2016-06-06,7,mean_squared_error,7.880837907199974
2016-06-13,7,mean_absolute_error,4.175722857142856
2016-06-13,7,mean_squared_error,43.56465688154284
2016-06-20,7,mean_absolute_error,1.7762357142857108
2016-06-20,7,mean_squared_error,3.4991815039285585
2016-06-27,7,mean_absolute_error,0.9209528571428551
2016-06-27,7,mean_squared_error,1.0043218232714233
2016-07-04,7,mean_squared_error,31.001090848871446
2016-07-04,7,mean_absolute_error,2.8747842857142856
2016-07-11,7,mean_absolute_error,1.419309999999999
2016-07-11,7,mean_squared_error,2.5479442251857094
2016-07-18,7,mean_absolute_error,3.493408571428571
2016-07-18,7,mean_squared_error,36.530225035028586
2016-07-25,7,mean_absolute_error,1.86173857142857
2016-07-25,7,mean_squared_error,4.606395730014275
2016-08-01,7,mean_absolute_error,1.7432492857142814
2016-08-01,7,mean_squared_error,3.436534698117839
2016-08-08,7,mean_absolute_error,1.0208757142857117
2016-08-08,7,mean_squared_error,1.4023976418714188
2016-08-15,7,mean_absolute_error,0.9221499999999949
2016-08-15,7,mean_squared_error,1.1955251299857035
2016-08-22,7,mean_absolute_error,0.9469921428571364
2016-08-22,7,mean_squared_error,1.0520451930892734
